n,acc_svm,acc_maxent,acc_mnb
64, 44.66, 45.06, 46.05
128, 43.48, 44.27, 46.64
257, 46.64, 48.62, 49.41
514, 47.63, 49.01, 54.55
1028, 50.99, 52.17, 54.94
2056, 50.00, 53.36, 52.96
4113, 51.58, 53.75, 51.78
8227, 50.40, 51.19, 53.36
