n,acc_svm,acc_maxent,acc_mnb
64, 36.17, 38.74, 46.64
128, 39.13, 40.91, 46.25
257, 31.23, 44.66, 46.84
514, 48.81, 46.05, 49.01
1028, 49.21, 47.83, 48.81
2056, 45.85, 46.84, 49.41
4113, 42.29, 42.09, 46.64
8227, 38.54, 38.34, 43.87





