n,f1_svm,f1_maxent,f1_mnb
64, 26.06, 29.90, 35.75
128, 32.84, 31.11, 33.38
257, 30.88, 34.37, 34.02
514, 32.62, 34.82, 35.45
1028, 36.83, 33.68, 36.04
2056, 35.54, 35.71, 35.25
4113, 39.18, 36.04, 34.53 
8227, 36.78, 38.76, 31.16
