n,f1_svm,f1_maxent,f1_mnb
64, 35.50, 32.97, 38.16
128, 34.66, 33.41, 39.51
257, 33.67, 36.03, 40.50
514, 38.39, 40.27, 42.38
1028, 39.25, 40.09, 32.05
2056, 40.16, 41.00, 36.10
4113, 40.98, 44.35, 36.91
8227, 40.88, 41.75, 44.38
