n,f1_svm,f1_maxent,f1_mnb
64, 33.02, 42.31, 25.23
128, 28.83, 43.16, 25.37
257, 32.31, 40.59, 32.28
514, 39.74, 28.87, 36.85
1028, 39.35, 34.46, 36.24
2056, 37.93, 40.64, 38.22
4113, 36.96, 38.81, 41.40
8227, 38.57, 40.40, 40.55
