n,acc_svm,acc_maxent,acc_mnb
64, 47.43, 47.63, 44.47
128, 46.64, 48.22, 44.86
257, 47.43, 49.01, 48.62
514, 49.80, 51.19, 51.98
1028, 49.60, 51.98, 52.17
2056, 48.81, 53.36, 49.80
4113, 47.04, 50.79, 48.42
8227, 47.63, 51.38, 50.40
